episode,time,mean_reward,max_reward,min_reward,min_cost,min_index,converged,timestep_final,consumption,generation,loads,losses,actor_losses,critic_losses
104,0,0.0019010362,0.011834322,-0.024437508,823.9537260250523,92,0,124,192.7840018410895,192.784001833415,73.0-28.000000000000004-57.99999999999999-65.0-25.0,0.040153243,0.028147388,0.026685534
105,0,-0.060859155,0.0118785035,-1.0,758.8852139548288,111,0,124,192.7533895280301,192.75338952040363,100.0-20.0-71.0-57.99999999999999-26.0,0.44351467,0.008317054,0.8729573
106,0,-0.037127722,0.011834322,-1.0,795.6310177333222,70,0,124,193.33688977747633,193.33688976761525,70.0-23.0-49.0-50.0-22.0,0.22280076,0.04275708,0.36264762
107,0,-0.012753856,0.011675771,-2.0,782.3171355846262,93,0,104,192.87206937673574,192.87206936918554,78.0-26.0-71.0-52.0-23.0,-0.065370664,-0.11018662,0.092218705
108,0,-0.012910911,0.011675771,-2.0,797.7840331869229,109,0,111,192.65735877156578,192.65735876454642,95.0-28.000000000000004-76.0-54.0-23.0,0.03864385,-0.011938081,0.10375337
109,0,-0.013767032,0.0118785035,-1.0,839.4655939390108,113,0,124,192.5280398145085,192.52803980789986,94.0-31.0-76.0-56.99999999999999-25.0,0.057869595,-0.0012614742,0.12099782
110,0,-0.013081556,0.011834322,-2.0,790.7323186243852,93,0,105,192.88199500892566,192.8819950019828,63.0-26.0-74.0-63.0-23.0,0.031780235,-0.015869714,0.098018646
111,0,-0.013589427,0.0118785035,-2.0,841.9510912867762,106,0,110,192.56076102614375,192.5607610196292,70.0-31.0-66.0-79.0-25.0,0.119457975,0.06306998,0.11549942
112,0,-0.01258053,0.01161847,-2.0,770.3249027566984,103,0,103,192.77518587802876,192.7751858709596,82.0-23.0-78.0-57.99999999999999-25.0,-0.00045978278,-0.047967784,0.097700395
113,0,-0.013138852,0.0118785035,-2.0,782.4918257390417,87,0,123,192.98116896467025,192.98116895650466,70.0-22.0-56.99999999999999-68.0-25.0,0.06296932,0.014334056,0.100034446
114,0,0.00088551646,0.0118785035,-0.02488391,884.0605773565902,82,0,124,192.9289538571622,192.92895384978004,55.00000000000001-28.000000000000004-60.0-60.0-30.0,0.023752976,0.018391997,0.0134190265
